epoch,algorithm_head_loss,algorithm_head_sparse_categorical_accuracy,freq_log2_head_loss,freq_log2_head_mae,freq_log2_head_mse,loss,ratio_log2_head_loss,ratio_log2_head_mae,ratio_log2_head_mse,val_algorithm_head_loss,val_algorithm_head_sparse_categorical_accuracy,val_freq_log2_head_loss,val_freq_log2_head_mae,val_freq_log2_head_mse,val_loss,val_ratio_log2_head_loss,val_ratio_log2_head_mae,val_ratio_log2_head_mse,learning_rate
0,0.46432235836982727,0.6327999830245972,0.10526574403047562,0.36072173714637756,0.21488915383815765,1.4954586029052734,0.3288573622703552,0.6876755952835083,0.7240464687347412,0.3531377613544464,0.6651999950408936,0.05217897519469261,0.25090259313583374,0.10459370166063309,1.1179988384246826,0.23496076464653015,0.5591714382171631,0.49922841787338257,0.00018000000272877514
1,0.3076145350933075,0.7175333499908447,0.057320695370435715,0.2676700949668884,0.11481186002492905,0.9599414467811584,0.16183783113956451,0.45341062545776367,0.3378130793571472,0.30856797099113464,0.7354666590690613,0.053376227617263794,0.24836400151252747,0.10751435905694962,0.9405760169029236,0.11681435257196426,0.39500266313552856,0.23486962914466858,0.00018000000272877514
2,0.266378253698349,0.7574666738510132,0.04717673361301422,0.2424985021352768,0.09445986896753311,0.8194875121116638,0.11644253879785538,0.3797214925289154,0.23870879411697388,0.2028736174106598,0.803600013256073,0.03392552211880684,0.2084321677684784,0.0678534284234047,0.6131783723831177,0.06636812537908554,0.28638720512390137,0.13299457728862762,0.00018000000272877514
3,0.22148144245147705,0.8081666827201843,0.038069941103458405,0.21814121305942535,0.0761752650141716,0.6764278411865234,0.08699402958154678,0.3254118263721466,0.17650488018989563,0.1839599907398224,0.8489333391189575,0.01876217871904373,0.1515057235956192,0.03752436861395836,0.5570492744445801,0.0744844526052475,0.27860593795776367,0.15740661323070526,0.00018000000272877514
4,0.1868845522403717,0.8440333604812622,0.034062452614307404,0.20585453510284424,0.06814922392368317,0.5726277828216553,0.07561050355434418,0.30188268423080444,0.15301170945167542,0.21405790746212006,0.840399980545044,0.02186228148639202,0.1628396064043045,0.043728601187467575,0.6339943408966064,0.055099181830883026,0.2561222016811371,0.11062055081129074,0.00018000000272877514
5,0.15543948113918304,0.8753666877746582,0.030853377655148506,0.19591759145259857,0.061723314225673676,0.47570618987083435,0.0590922050178051,0.26728585362434387,0.11885083466768265,0.11941800266504288,0.8970666527748108,0.016902510076761246,0.1457250863313675,0.03380502760410309,0.3555499017238617,0.030162973329424858,0.19030751287937164,0.06040656194090843,0.00018000000272877514
6,0.13492293655872345,0.8963333368301392,0.028153689578175545,0.18638326227664948,0.05632626265287399,0.41342422366142273,0.05104779824614525,0.2479829490184784,0.10251776874065399,0.13416481018066406,0.8933333158493042,0.02417745813727379,0.17456120252609253,0.04835713282227516,0.3998982012271881,0.029681792482733727,0.1878373920917511,0.05937759578227997,0.00018000000272877514
7,0.11857336759567261,0.9093666672706604,0.02628062479197979,0.18080373108386993,0.05256224051117897,0.36435025930404663,0.04559691250324249,0.2344379872083664,0.09164152294397354,0.11737089604139328,0.9022666811943054,0.016624420881271362,0.14331895112991333,0.03324943408370018,0.34974205493927,0.03027218021452427,0.19519805908203125,0.06062064319849014,0.00018000000272877514
8,0.1003255844116211,0.92330002784729,0.023925311863422394,0.1727946400642395,0.04785390570759773,0.31024888157844543,0.04126816242933273,0.22340229153633118,0.08282878994941711,0.11039809882640839,0.9190666675567627,0.02351791225373745,0.16920967400074005,0.04703839495778084,0.34052717685699463,0.04628791660070419,0.23504820466041565,0.09277033805847168,0.00018000000272877514
9,0.08918438106775284,0.9320999979972839,0.023207323625683784,0.1694600135087967,0.04642443358898163,0.277765691280365,0.039124805480241776,0.21758867800235748,0.07849927246570587,0.1402207612991333,0.9052000045776367,0.014311247505247593,0.12927667796611786,0.028915220871567726,0.40916162729263306,0.0224513728171587,0.16459597647190094,0.044934533536434174,0.00018000000272877514
10,0.08091339468955994,0.9409999847412109,0.022405147552490234,0.16696393489837646,0.044816382229328156,0.2522474229335785,0.03468327969312668,0.20490266382694244,0.06947995722293854,0.11714120954275131,0.9254666566848755,0.019848212599754333,0.1556173712015152,0.03969993814826012,0.34648066759109497,0.021229643374681473,0.156975656747818,0.04265698790550232,0.00018000000272877514
11,0.04640375077724457,0.9642999768257141,0.016906384378671646,0.14484132826328278,0.03381291776895523,0.14947833120822906,0.026533352211117744,0.1798306405544281,0.05309431627392769,0.05723511427640915,0.9588000178337097,0.00901141855865717,0.10522865504026413,0.018022848293185234,0.17139604687690735,0.015739310532808304,0.13735932111740112,0.031563203781843185,9.000000136438757e-05
12,0.03857354819774628,0.97243332862854,0.01580999046564102,0.14008548855781555,0.03161995857954025,0.12611453235149384,0.024431539699435234,0.17247796058654785,0.048885393887758255,0.06680126488208771,0.9563999772071838,0.012767104431986809,0.1246006041765213,0.025534214451909065,0.19979611039161682,0.015572366304695606,0.13449783623218536,0.03133326768875122,9.000000136438757e-05
13,0.036207832396030426,0.9722333550453186,0.014904199168086052,0.1355109065771103,0.029808832332491875,0.11848924309015274,0.02311200276017189,0.16717718541622162,0.046240050345659256,0.05087261646986008,0.9639999866485596,0.008397690951824188,0.10115921497344971,0.016795391216874123,0.15294957160949707,0.014949635602533817,0.1328977644443512,0.02990742027759552,9.000000136438757e-05
14,0.03136664256453514,0.9764333367347717,0.014569363556802273,0.13410870730876923,0.029139861464500427,0.1043662428855896,0.02218564972281456,0.16433033347129822,0.044375885277986526,0.05306463688611984,0.963866651058197,0.007921326905488968,0.09888369590044022,0.01584264263510704,0.15770739316940308,0.012359621934592724,0.12253432720899582,0.02472444623708725,9.000000136438757e-05
15,0.029201636090874672,0.9778333306312561,0.013970475643873215,0.13145563006401062,0.027940966188907623,0.09717776626348495,0.02028128132224083,0.15658998489379883,0.040655314922332764,0.0624963752925396,0.9584000110626221,0.01106628030538559,0.1156361997127533,0.02213258296251297,0.1863071322441101,0.014083363115787506,0.1273718625307083,0.028290770947933197,9.000000136438757e-05
16,0.01732136309146881,0.9864333271980286,0.012617947533726692,0.12420465052127838,0.02523595467209816,0.06232893839478493,0.01811365596950054,0.14806827902793884,0.03622908145189285,0.052396826446056366,0.9689333438873291,0.007649815175682306,0.0961608737707138,0.015299632214009762,0.1551651805639267,0.011136851273477077,0.11648018658161163,0.02227368950843811,4.5000000682193786e-05
17,0.014285264536738396,0.989300012588501,0.012105273082852364,0.12191717326641083,0.024210486561059952,0.0530693344771862,0.016940508037805557,0.14383813738822937,0.033882204443216324,0.07269486784934998,0.961733341217041,0.007543060928583145,0.09471867978572845,0.01508612185716629,0.21167446672916412,0.010520505718886852,0.11001897603273392,0.021041007712483406,4.5000000682193786e-05
