epoch,algorithm_head_loss,algorithm_head_sparse_categorical_accuracy,freq_bin_head_loss,freq_bin_head_sparse_categorical_accuracy,freq_log2_head_loss,freq_log2_head_mae,freq_log2_head_mse,loss,val_algorithm_head_loss,val_algorithm_head_sparse_categorical_accuracy,val_freq_bin_head_loss,val_freq_bin_head_sparse_categorical_accuracy,val_freq_log2_head_loss,val_freq_log2_head_mae,val_freq_log2_head_mse,val_loss,learning_rate
0,0.9959425330162048,0.473141610622406,2.3980610370635986,0.14107432961463928,0.31068116426467896,0.6583008766174316,0.6737951636314392,3.046541929244995,1.430355429649353,0.26030367612838745,2.5265634059906006,0.08242949843406677,0.4968630373477936,0.9037206172943115,1.1231821775436401,3.8032586574554443,0.0002500000118743628
1,0.8892130851745605,0.513836145401001,2.241868495941162,0.18231144547462463,0.28138184547424316,0.6162549257278442,0.6095982193946838,2.797576665878296,1.3919081687927246,0.2516269087791443,2.538445472717285,0.08893709629774094,0.604509711265564,1.0117501020431519,1.5205491781234741,3.907395124435425,0.0002500000118743628
2,0.8691442012786865,0.508952796459198,2.146941661834717,0.2007596343755722,0.2662566602230072,0.5949057340621948,0.5726900696754456,2.692631959915161,1.1352249383926392,0.3687635660171509,2.438826084136963,0.12798264622688293,0.4132128059864044,0.7972771525382996,0.9181098937988281,3.341021776199341,0.0002500000118743628
3,0.8670353889465332,0.508952796459198,2.0752577781677246,0.23277264833450317,0.27274447679519653,0.5996263027191162,0.584403932094574,2.6427931785583496,0.883659303188324,0.5249457955360413,2.2800192832946777,0.1713665872812271,0.356073260307312,0.7382781505584717,0.7524001002311707,2.898770332336426,0.0002500000118743628
4,0.8526701927185059,0.5122083425521851,1.9668583869934082,0.2859468162059784,0.2574543058872223,0.5811360478401184,0.5502464771270752,2.542989492416382,0.8747488856315613,0.5075922012329102,2.019634962081909,0.2516269087791443,0.2646409273147583,0.5966687798500061,0.5614904165267944,2.601628541946411,0.0002500000118743628
5,0.8456056118011475,0.5230602025985718,1.9214222431182861,0.30710798501968384,0.2520284950733185,0.5703541040420532,0.5420365929603577,2.4949543476104736,0.8660010099411011,0.5140997767448425,2.0209383964538574,0.25596529245376587,0.2757294476032257,0.6197078824043274,0.5806790590286255,2.6006767749786377,0.0002500000118743628
6,0.8402124047279358,0.5274009704589844,1.8941917419433594,0.31578946113586426,0.25259116291999817,0.5657395720481873,0.5349161624908447,2.4599575996398926,0.8625965118408203,0.5032538175582886,1.9492906332015991,0.31670281291007996,0.28204408288002014,0.6216041445732117,0.597854495048523,2.5535635948181152,0.0002500000118743628
7,0.8413203954696655,0.5442214012145996,1.8361876010894775,0.32067281007766724,0.2549511194229126,0.5747693777084351,0.5498072504997253,2.4401795864105225,0.8590182065963745,0.509761393070221,1.9456409215927124,0.2537961006164551,0.2559039890766144,0.5743303894996643,0.5386047959327698,2.5173099040985107,0.0002500000118743628
8,0.83835369348526,0.5387954711914062,1.7607166767120361,0.3640803098678589,0.25678566098213196,0.5688579082489014,0.5464606285095215,2.3759546279907227,0.8672531247138977,0.509761393070221,1.8478543758392334,0.3101952373981476,0.2411641627550125,0.5506304502487183,0.5091145038604736,2.4403202533721924,0.0002500000118743628
9,0.8348128199577332,0.5382528305053711,1.71580171585083,0.3890396058559418,0.24665918946266174,0.5547490119934082,0.5275482535362244,2.3329107761383057,0.8754380345344543,0.5075922012329102,1.8319475650787354,0.30151844024658203,0.2386292666196823,0.5470765233039856,0.5038911700248718,2.436582565307617,0.0002500000118743628
10,0.8305973410606384,0.5404232144355774,1.6984446048736572,0.3884970247745514,0.2455931156873703,0.5584428906440735,0.5254955291748047,2.3178296089172363,0.8817427158355713,0.5206073522567749,1.8525439500808716,0.3449023962020874,0.26213571429252625,0.570084273815155,0.5816895961761475,2.485960006713867,0.0002500000118743628
11,0.8269938826560974,0.5404232144355774,1.6694506406784058,0.39175257086753845,0.2564079463481903,0.5717763304710388,0.547430157661438,2.3022780418395996,0.8724115490913391,0.5010846257209778,1.768228530883789,0.33188721537590027,0.2417728304862976,0.5440126657485962,0.5104164481163025,2.3890414237976074,0.0002500000118743628
12,0.8281334638595581,0.534997284412384,1.635915994644165,0.4036896228790283,0.2458953708410263,0.5553011894226074,0.5313981175422668,2.270765542984009,0.8541982769966125,0.5140997767448425,1.7674546241760254,0.3253796100616455,0.24244444072246552,0.5493530035018921,0.5100224018096924,2.3729488849639893,0.0002500000118743628
13,0.8249741792678833,0.5469343662261963,1.6251168251037598,0.40531742572784424,0.2455361783504486,0.5584363341331482,0.5291922092437744,2.2556543350219727,0.8672975897789001,0.5054230093955994,1.702167272567749,0.3665943741798401,0.24736547470092773,0.5702653527259827,0.522419810295105,2.3444581031799316,0.0002500000118743628
14,0.8208309412002563,0.549647331237793,1.6094250679016113,0.4080303907394409,0.23861974477767944,0.5455583333969116,0.5099841952323914,2.235466241836548,0.8640507459640503,0.5010846257209778,1.7381927967071533,0.34056398272514343,0.24372796714305878,0.5458726286888123,0.5127235651016235,2.363403558731079,0.0002500000118743628
15,0.8149184584617615,0.5604991912841797,1.5644538402557373,0.4259359836578369,0.24140630662441254,0.5479845404624939,0.521851122379303,2.2006328105926514,0.8772467374801636,0.4837310314178467,1.7186845541000366,0.3470715880393982,0.23381070792675018,0.5404262542724609,0.49981367588043213,2.3508405685424805,0.0002500000118743628
16,0.8078920841217041,0.5588713884353638,1.5123260021209717,0.4557786285877228,0.23385126888751984,0.5379647016525269,0.500083863735199,2.138211488723755,0.8830147981643677,0.49240779876708984,1.6477185487747192,0.3687635660171509,0.23595817387104034,0.5362588167190552,0.5034050345420837,2.310373544692993,0.0001250000059371814
