id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head,index_12_head,index_23_head,index_3c_head,index_4c_head,index_5c_head,detune_carrier_head,feedback_head,lfo_rate_head,lfo_depth_cents_head,key_scaling_head,env_mod_attack_head,env_mod_decay_head,env_mod_sustain_head,env_mod_release_head,env_car_attack_head,env_car_decay_head,env_car_sustain_head,env_car_release_head
505,series2x2_parallel1,92.0713,1.0,2.1654,2.2403,3.6846,4.1141,4.1586,-5.397,0.1693,2.5781,19.5152,0.4604,0.0219,0.1213,0.3595,0.0298,0.0013,0.125,0.8999,0.6591,1,0.0,6.5246797,2.1654,2.2403,3.6846,4.1141,4.1586,-5.397,0.1693,2.5781,19.5152,0.4604,-5.512925,-3.0433486,0.3595,-5.068544,-9.587273,-3.0,0.8999,-0.6014307
635,series3_parallel2,278.6935,0.5,5.8692,1.6004,5.7367,0.2866,2.8859,6.1456,0.0228,4.3099,5.7135,0.4695,0.0026,0.3578,0.7745,0.36,0.0026,0.0433,0.2232,0.1995,3,-1.0,8.122536,5.8692,1.6004,5.7367,0.2866,2.8859,6.1456,0.0228,4.3099,5.7135,0.4695,-8.587273,-1.4827747,0.7745,-1.4739312,-8.587273,-4.529489,0.2232,-2.3255394
532,parallel5,100.9993,0.6667,1.5392,1.595,1.2496,3.36,0.8971,-0.403,0.1247,1.086,9.6646,0.5795,0.0169,0.3741,0.7942,0.0239,0.0378,0.5166,0.6204,0.2707,0,-0.58489037,6.658201,1.5392,1.595,1.2496,3.36,0.8971,-0.403,0.1247,1.086,9.6646,0.5795,-5.886833,-1.4185041,0.7942,-5.3868456,-4.72547,-0.95288044,0.6204,-1.8852332
259,series2x2_parallel1,87.5735,0.25,0.7661,4.0532,2.1409,3.6409,2.989,-10.5139,0.3585,5.405,18.4929,0.2208,0.0098,0.0767,0.4427,0.1747,0.0802,0.3211,0.6484,0.0686,1,-2.0,6.4524226,0.7661,4.0532,2.1409,3.6409,2.989,-10.5139,0.3585,5.405,18.4929,0.2208,-6.6730027,-3.7046297,0.4427,-2.5170484,-3.640254,-1.6389054,0.6484,-3.8656476
4,series2x2_parallel1,342.3453,4.0,1.967,1.686,3.0186,1.8485,0.5633,-3.6866,0.0062,7.5459,13.6636,0.7363,0.0597,0.0322,0.8388,0.6063,0.0021,0.3978,0.9438,0.0572,1,2.0,8.419309,1.967,1.686,3.0186,1.8485,0.5633,-3.6866,0.0062,7.5459,13.6636,0.7363,-4.0661254,-4.956795,0.8388,-0.7218963,-8.895395,-1.3298848,0.9438,-4.127841
297,series2x2_parallel1,442.3019,0.125,5.7877,5.1589,1.3571,3.068,2.5909,-10.9329,0.3467,3.8189,7.7758,0.7057,0.0497,0.1585,0.8708,0.4229,0.1091,0.1396,0.124,0.2699,1,-3.0,8.788888,5.7877,5.1589,1.3571,3.068,2.5909,-10.9329,0.3467,3.8189,7.7758,0.7057,-4.3306103,-2.6574452,0.8708,-1.2416116,-3.196277,-2.840629,0.124,-1.8895031
401,series3_parallel2,700.6248,2.0,1.0864,5.8339,3.2687,2.77,1.9479,-10.8743,0.0736,8.5213,8.7581,0.5205,0.0179,0.0487,0.5917,0.0921,0.0076,0.5676,0.6249,0.1288,3,1.0,9.452498,1.0864,5.8339,3.2687,2.77,1.9479,-10.8743,0.0736,8.5213,8.7581,0.5205,-5.8038964,-4.3599343,0.5917,-3.440655,-7.039785,-0.8170535,0.6249,-2.9567955
310,series3_parallel2,94.5911,3.0,2.5044,4.1472,0.7765,3.328,1.5531,3.2922,0.4274,5.711,14.901,0.2882,0.0107,0.1422,0.4897,0.1454,0.003,0.119,0.7988,0.1761,3,1.5849625,6.5636325,2.5044,4.1472,0.7765,3.328,1.5531,3.2922,0.4274,5.711,14.901,0.2882,-6.546245,-2.8140068,0.4897,-2.781901,-8.380822,-3.0709665,0.7988,-2.5055332
658,series2x2_parallel1,191.8772,0.125,1.631,1.7723,2.4504,2.9196,0.8948,-4.1264,0.0759,3.6509,20.8004,0.2866,0.0093,0.1497,0.4442,0.2603,0.0031,0.4608,0.1768,0.1122,1,-3.0,7.5840397,1.631,1.7723,2.4504,2.9196,0.8948,-4.1264,0.0759,3.6509,20.8004,0.2866,-6.7485538,-2.7398539,0.4442,-1.9417527,-8.333516,-1.1177874,0.1768,-3.1558554
652,parallel5,118.7234,0.1667,3.2215,0.5162,2.8733,0.1972,2.2708,-2.4622,0.2037,6.9799,19.7003,0.6084,0.019,0.0946,0.2037,0.5948,0.001,0.1966,0.7307,0.108,0,-2.584674,6.8914604,3.2215,0.5162,2.8733,0.1972,2.2708,-2.4622,0.2037,6.9799,19.7003,0.6084,-5.717857,-3.402016,0.2037,-0.74952346,-9.965784,-2.3466647,0.7307,-3.2108967
22,series3,568.1339,3.0,4.0304,1.2599,0.3571,0.6498,1.2101,-11.7107,0.1599,2.6996,6.0354,0.6507,0.004,0.0491,0.8537,0.4648,0.0181,0.058,0.1792,0.0497,2,1.5849625,9.150087,4.0304,1.2599,0.3571,0.6498,1.2101,-11.7107,0.1599,2.6996,6.0354,0.6507,-7.965784,-4.348133,0.8537,-1.1053181,-5.7878666,-4.1078033,0.1792,-4.3306103
160,series2x2_parallel1,582.9461,1.5,1.1854,2.2186,3.5477,1.7454,2.7163,-2.079,0.2864,3.6253,8.4262,0.6174,0.0039,0.1681,0.8296,0.1376,0.1094,0.063,0.6614,0.0851,1,0.5849625,9.187219,1.1854,2.2186,3.5477,1.7454,2.7163,-2.079,0.2864,3.6253,8.4262,0.6174,-8.00231,-2.5726082,0.8296,-2.8614476,-3.1923153,-3.9885044,0.6614,-3.554697
337,series3_parallel2,280.1236,0.25,5.832,1.3577,1.6213,2.5064,0.9594,8.0817,0.3756,3.8237,3.7665,0.6302,0.016,0.2944,0.5526,0.3501,0.0025,0.3494,0.64,0.6631,3,-2.0,8.12992,5.832,1.3577,1.6213,2.5064,0.9594,8.0817,0.3756,3.8237,3.7665,0.6302,-5.965784,-1.7641504,0.5526,-1.514161,-8.643856,-1.5170485,0.64,-0.5927016
25,series3,242.2384,0.125,2.4334,3.9693,3.903,3.1934,2.7583,4.8132,0.3022,8.6844,8.8433,0.3317,0.0039,0.0326,0.4785,0.0327,0.0458,0.0956,0.9463,0.0655,2,-3.0,7.920284,2.4334,3.9693,3.903,3.1934,2.7583,4.8132,0.3022,8.6844,8.8433,0.3317,-8.00231,-4.9389844,0.4785,-4.9345655,-4.4485087,-3.3868456,0.9463,-3.9323614
405,series3,201.1286,1.5,1.8217,1.9276,1.0186,1.1841,3.7251,4.4498,0.1366,5.872,6.1888,0.3612,0.0082,0.2895,0.8658,0.0821,0.0425,0.1176,0.1492,0.1064,2,0.5849625,7.6519747,1.8217,1.9276,1.0186,1.1841,3.7251,4.4498,0.1366,5.872,6.1888,0.3612,-6.9301605,-1.7883648,0.8658,-3.606474,-4.556393,-3.08804,0.1492,-3.23243
359,series2x2_parallel1,292.7454,4.0,3.1569,1.89,0.7196,0.542,0.754,1.6247,0.3834,5.6102,20.0671,0.5208,0.0365,0.0305,0.4643,0.4505,0.0014,0.2151,0.9151,0.3718,1,2.0,8.193502,3.1569,1.89,0.7196,0.542,0.754,1.6247,0.3834,5.6102,20.0671,0.5208,-4.77596,-5.035047,0.4643,-1.150401,-9.480357,-2.2169206,0.9151,-1.4274013
214,series3_parallel2,114.0084,0.3333,3.5762,0.331,1.0089,1.5945,1.9434,-11.6757,0.2697,4.2033,11.8435,0.1066,0.0253,0.4906,0.5861,0.0578,0.0062,0.1574,0.1379,0.1486,3,-1.5851068,6.8329964,3.5762,0.331,1.0089,1.5945,1.9434,-11.6757,0.2697,4.2033,11.8435,0.1066,-5.304719,-1.027381,0.5861,-4.112787,-7.333516,-2.6674926,0.1379,-2.750494
478,series3,585.531,0.6667,2.1316,0.7378,4.1053,4.1627,3.6341,9.7191,0.0948,7.4126,18.4477,0.4901,0.0199,0.0614,0.8029,0.2606,0.0023,0.5264,0.8424,0.2611,2,-0.58489037,9.193602,2.1316,0.7378,4.1053,4.1627,3.6341,9.7191,0.0948,7.4126,18.4477,0.4901,-5.6510878,-4.0256176,0.8029,-1.940091,-8.764151,-0.9257685,0.8424,-1.9373257
330,series2x2_parallel1,181.6955,0.5,3.8125,2.8678,5.6166,2.4609,3.8057,-10.8068,0.0603,2.0993,5.8246,0.7467,0.064,0.0359,0.5205,0.0451,0.0014,0.0427,0.3004,0.1475,1,-1.0,7.5053787,3.8125,2.8678,5.6166,2.4609,3.8057,-10.8068,0.0603,2.0993,5.8246,0.7467,-3.9657843,-4.7998724,0.5205,-4.470729,-9.480357,-4.54962,0.3004,-2.7612133
367,series3_parallel2,74.5576,0.1667,3.109,3.4904,1.4547,0.3287,3.9763,-10.2858,0.2124,3.4702,18.0738,0.3521,0.0027,0.1225,0.6017,0.3107,0.0031,0.4191,0.1431,0.0445,3,-2.584674,6.2202835,3.109,3.4904,1.4547,0.3287,3.9763,-10.2858,0.2124,3.4702,18.0738,0.3521,-8.5328245,-3.0291464,0.6017,-1.6864059,-8.333516,-1.2546337,0.1431,-4.490051
534,series3_parallel2,531.6893,0.125,1.0136,0.6869,0.8876,1.7769,3.6667,1.6441,0.3642,3.622,0.7809,0.4835,0.0282,0.1958,0.5764,0.1118,0.0019,0.1853,0.3307,0.4616,3,-3.0,9.05444,1.0136,0.6869,0.8876,1.7769,3.6667,1.6441,0.3642,3.622,0.7809,0.4835,-5.148161,-2.3525472,0.5764,-3.161008,-9.039784,-2.4320652,0.3307,-1.1152848
453,series3,117.6924,3.0,1.5518,4.5128,2.0853,3.2747,3.6077,-8.1744,0.4117,7.6788,18.0544,0.6546,0.0132,0.0449,0.7792,0.1841,0.0027,0.0493,0.2999,0.409,2,1.5849625,6.878877,1.5518,4.5128,2.0853,3.2747,3.6077,-8.1744,0.4117,7.6788,18.0544,0.6546,-6.243318,-4.477141,0.7792,-2.4414384,-8.5328245,-4.3422685,0.2999,-1.2898272
119,series3,140.2724,0.6667,0.517,3.474,1.6591,0.3197,1.1293,11.5283,0.2597,6.0287,17.3574,0.064,0.0279,0.2509,0.7904,0.5875,0.1028,0.1284,0.8487,0.0412,2,-0.58489037,7.132087,0.517,3.474,1.6591,0.3197,1.1293,11.5283,0.2597,6.0287,17.3574,0.064,-5.163591,-1.9948156,0.7904,-0.7673393,-3.2820878,-2.961283,0.8487,-4.601212
631,series2x2_parallel1,520.9465,0.125,0.2219,2.1431,2.7905,3.4806,0.3794,-11.7872,0.3794,4.4228,7.9533,0.3931,0.0199,0.0526,0.2534,0.0296,0.0425,0.2626,0.3651,0.3913,1,-3.0,9.024991,0.2219,2.1431,2.7905,3.4806,0.3794,-11.7872,0.3794,4.4228,7.9533,0.3931,-5.6510878,-4.2487936,0.2534,-5.078259,-4.556393,-1.9290612,0.3651,-1.353653
572,series3,143.1834,1.0,3.2367,1.149,2.117,0.3515,4.0041,2.3618,0.1528,6.4272,16.7369,0.7988,0.0056,0.2277,0.4885,0.321,0.0436,0.3145,0.8213,0.3482,2,0.0,7.1617203,3.2367,1.149,2.117,0.3515,4.0041,2.3618,0.1528,6.4272,16.7369,0.7988,-7.4803576,-2.1347938,0.4885,-1.6393547,-4.519528,-1.6688681,0.8213,-1.5220119
94,series3_parallel2,113.4182,0.3333,5.6089,3.3192,3.3973,1.5929,4.4624,2.0594,0.0416,4.4012,13.8052,0.6257,0.0049,0.0893,0.3051,0.2902,0.0022,0.1801,0.452,0.0339,3,-1.5851068,6.825508,5.6089,3.3192,3.3973,1.5929,4.4624,2.0594,0.0416,4.4012,13.8052,0.6257,-7.6730027,-3.485196,0.3051,-1.7848806,-8.82828,-2.47313,0.452,-4.8825707
522,series3_parallel2,148.4083,1.0,4.7303,3.3345,3.5272,2.3271,0.3008,-6.1928,0.43,4.176,7.4597,0.486,0.006,0.5001,0.6372,0.0713,0.0463,0.1838,0.21,0.0864,3,0.0,7.213428,4.7303,3.3345,3.5272,2.3271,0.3008,-6.1928,0.43,4.176,7.4597,0.486,-7.3808217,-0.99971145,0.6372,-3.8099542,-4.432844,-2.4437914,0.21,-3.5328248
78,series3,238.0289,1.5,3.8787,2.1062,0.559,4.9988,1.3424,-7.0994,0.3998,5.8279,16.6081,0.7901,0.0023,0.0343,0.2534,0.064,0.0673,0.0921,0.1235,0.244,2,0.5849625,7.894993,3.8787,2.1062,0.559,4.9988,1.3424,-7.0994,0.3998,5.8279,16.6081,0.7901,-8.764151,-4.865648,0.2534,-3.9657843,-3.8932498,-3.440655,0.1235,-2.0350468
67,series3_parallel2,782.3926,0.5,0.9264,0.265,2.3293,3.7358,2.9831,9.1597,0.1426,3.8443,17.639,0.6524,0.0072,0.2043,0.4641,0.0477,0.0839,0.2661,0.8846,0.3932,3,-1.0,9.611749,0.9264,0.265,2.3293,3.7358,2.9831,9.1597,0.1426,3.8443,17.639,0.6524,-7.1177874,-2.2912388,0.4641,-4.389867,-3.5751855,-1.9099597,0.8846,-1.3466647
392,series2x2_parallel1,69.6579,1.5,0.9231,1.0068,1.0785,1.894,0.5978,-7.1104,0.0294,7.9506,19.1402,0.6352,0.0022,0.0942,0.4066,0.4355,0.0137,0.2,0.7702,0.0751,1,0.5849625,6.122215,0.9231,1.0068,1.0785,1.894,0.5978,-7.1104,0.0294,7.9506,19.1402,0.6352,-8.82828,-3.4081292,0.4066,-1.1992553,-6.18968,-2.321928,0.7702,-3.7350433
517,series3,159.3281,0.2,2.6056,3.1022,1.0038,1.7114,3.6217,-5.1238,0.0612,8.0658,14.657,0.1864,0.0027,0.0647,0.3843,0.0442,0.0323,0.0813,0.3741,0.0304,2,-2.321928,7.315857,2.6056,3.1022,1.0038,1.7114,3.6217,-5.1238,0.0612,8.0658,14.657,0.1864,-8.5328245,-3.9500904,0.3843,-4.4998097,-4.952322,-3.620601,0.3741,-5.039785
208,series2x2_parallel1,67.5652,0.2,1.7622,2.9994,1.5376,5.2303,0.7112,-5.0795,0.2596,4.2261,9.4799,0.2115,0.0054,0.1362,0.8301,0.0486,0.0341,0.1102,0.5307,0.061,1,-2.321928,6.0782084,1.7622,2.9994,1.5376,5.2303,0.7112,-5.0795,0.2596,4.2261,9.4799,0.2115,-7.532825,-2.8762014,0.8301,-4.3629,-4.8740845,-3.181804,0.5307,-4.035047
529,series2x2_parallel1,347.6661,0.1667,1.624,1.5549,3.0319,5.8616,2.7632,-4.3938,0.092,1.1686,17.4187,0.0188,0.0669,0.1116,0.7034,0.0822,0.0344,0.0999,0.8122,0.0723,1,-2.584674,8.441559,1.624,1.5549,3.0319,5.8616,2.7632,-4.3938,0.092,1.1686,17.4187,0.0188,-3.90185,-3.1635911,0.7034,-3.6047177,-4.861448,-3.3233714,0.8122,-3.7898605
334,series2x2_parallel1,451.887,0.125,3.0487,1.7009,3.5819,2.4465,2.8792,5.2599,0.4363,8.8779,6.8578,0.7709,0.0183,0.4371,0.7708,0.0631,0.0095,0.1149,0.3549,0.0763,1,-3.0,8.8198185,3.0487,1.7009,3.5819,2.4465,2.8792,5.2599,0.4363,8.8779,6.8578,0.7709,-5.7720127,-1.1939647,0.7708,-3.986216,-6.717857,-3.1215494,0.3549,-3.712173
263,parallel5,221.1687,0.3333,0.6182,1.1817,3.5235,3.661,0.1781,6.7756,0.3534,1.6928,4.7265,0.7873,0.0207,0.0774,0.8492,0.4508,0.0395,0.1333,0.72,0.2801,0,-1.5851068,7.7890034,0.6182,1.1817,3.5235,3.661,0.1781,6.7756,0.3534,1.6928,4.7265,0.7873,-5.5942254,-3.6915226,0.8492,-1.1494405,-4.6620035,-2.9072514,0.72,-1.8359861
523,series3_parallel2,331.4887,3.0,2.0482,0.663,2.3768,4.5431,2.2706,-2.9101,0.0647,0.0121,7.0134,0.2182,0.0028,0.1341,0.4315,0.0579,0.0031,0.2865,0.9002,0.059,3,1.5849625,8.372816,2.0482,0.663,2.3768,4.5431,2.2706,-2.9101,0.0647,0.0121,7.0134,0.2182,-8.480357,-2.8986187,0.4315,-4.110293,-8.333516,-1.8033929,0.9002,-4.0831413
277,parallel5,204.9969,0.6667,1.9448,1.571,1.5456,1.8132,3.898,-0.3915,0.0832,0.6138,10.6007,0.6509,0.0325,0.3558,0.7701,0.4682,0.0224,0.3163,0.6467,0.0475,0,-0.58489037,7.679458,1.9448,1.571,1.5456,1.8132,3.898,-0.3915,0.0832,0.6138,10.6007,0.6509,-4.9434166,-1.4908615,0.7701,-1.0948032,-5.4803576,-1.6606345,0.6467,-4.395929
311,series2x2_parallel1,668.896,0.125,3.6727,1.8419,3.0132,2.2991,1.3983,9.1523,0.0768,8.9027,7.3267,0.3876,0.0151,0.1371,0.5277,0.4613,0.0019,0.0482,0.8581,0.6601,1,-3.0,9.385638,3.6727,1.8419,3.0132,2.2991,1.3983,9.1523,0.0768,8.9027,7.3267,0.3876,-6.049308,-2.8666995,0.5277,-1.1162229,-9.039784,-4.374823,0.8581,-0.5992435
425,parallel5,91.1535,0.125,4.3789,3.9428,4.6351,0.1671,4.6875,-4.9544,0.3798,7.9753,16.6638,0.676,0.046,0.2545,0.852,0.0608,0.0061,0.3547,0.8831,0.4163,0,-3.0,6.5102262,4.3789,3.9428,4.6351,0.1671,4.6875,-4.9544,0.3798,7.9753,16.6638,0.676,-4.442222,-1.9742625,0.852,-4.039785,-7.356975,-1.4953288,0.8831,-1.2643045
506,series3,68.3888,1.5,4.1038,4.2076,1.2694,1.5838,3.3266,10.5846,0.328,7.922,3.6767,0.7461,0.0031,0.4067,0.6361,0.0992,0.0428,0.1395,0.7923,0.0595,2,0.5849625,6.0956883,4.1038,4.2076,1.2694,1.5838,3.3266,10.5846,0.328,7.922,3.6767,0.7461,-8.333516,-1.2979631,0.6361,-3.3335161,-4.546245,-2.841663,0.7923,-4.0709667
115,parallel5,90.7714,0.6667,2.6578,4.3872,1.097,2.5498,0.2879,11.4683,0.125,4.6755,3.5034,0.0792,0.0364,0.0896,0.5591,0.081,0.0013,0.1149,0.3899,0.0606,0,-0.58489037,6.504166,2.6578,4.3872,1.097,2.5498,0.2879,11.4683,0.125,4.6755,3.5034,0.0792,-4.7799177,-3.4803576,0.5591,-3.6259344,-9.587273,-3.1215494,0.3899,-4.0445385
404,parallel5,99.4418,0.25,2.8518,3.5816,2.6323,1.532,1.2161,-4.3384,0.1771,1.9145,18.7554,0.0043,0.0569,0.0334,0.6634,0.6074,0.0011,0.4798,0.3465,0.043,0,-2.0,6.6357803,2.8518,3.5816,2.6323,1.532,1.2161,-4.3384,0.1771,1.9145,18.7554,0.0043,-4.1354275,-4.904008,0.6634,-0.7192812,-9.82828,-1.059495,0.3465,-4.5395193
579,parallel5,107.4371,1.5,1.8349,0.4083,0.9894,0.9532,0.5945,-2.4182,0.0051,8.5726,12.4724,0.0223,0.0112,0.3909,0.7067,0.2598,0.0012,0.3072,0.8483,0.2465,0,0.5849625,6.7473483,1.8349,0.4083,0.9894,0.9532,0.5945,-2.4182,0.0051,8.5726,12.4724,0.0223,-6.4803576,-1.3551285,0.7067,-1.9445268,-9.70275,-1.7027498,0.8483,-2.0203404
316,parallel5,671.7356,0.6667,0.3668,2.2046,2.4574,4.4983,2.2501,-3.984,0.1894,2.8055,4.894,0.4185,0.0021,0.0369,0.4052,0.1159,0.0049,0.2579,0.2708,0.1458,0,-0.58489037,9.391749,0.3668,2.2046,2.4574,4.4983,2.2501,-3.984,0.1894,2.8055,4.894,0.4185,-8.895395,-4.7602353,0.4052,-3.1090474,-7.6730027,-1.9551163,0.2708,-2.7779374
