mode,sample_id,algorithm_true,algorithm_pred,algorithm_correct,ratio_true,ratio_pred,freq_true,freq_pred,fft_distance,stft_distance,log_mel_spectrogram_distance_raw,log_mel_spectrogram_distance_normalized
full_pred,49528,series3_parallel2,series2x2_parallel1,False,0.5,0.5347926616668701,68.74340057373047,87.05865478515625,33594.73828125,5735.88671875,100.6237564086914,0.006239072197959537
full_pred,4774,series3_parallel2,series3_parallel2,True,0.20000000298023224,0.1408787965774536,241.5977020263672,273.52313232421875,25210.23828125,4536.55908203125,240.85488891601562,0.014933958886161683
full_pred,43941,series3_parallel2,series3_parallel2,True,0.16670000553131104,0.1439497321844101,171.23629760742188,178.2636260986328,18439.10546875,2467.056640625,160.6278076171875,0.009959561484200614
full_pred,15205,series3,series3,True,0.20000000298023224,0.19529114663600922,438.460693359375,465.8100280761719,35207.96484375,4134.2197265625,240.47389221191406,0.014910335578615702
full_pred,20620,series2x2_parallel1,series3_parallel2,False,0.5,0.47477808594703674,600.2529296875,637.2297973632812,9459.087890625,1856.2138671875,159.03860473632812,0.009861024599226694
full_pred,19085,series2x2_parallel1,series3_parallel2,False,0.666700005531311,0.6562666296958923,402.4547119140625,439.7490539550781,12849.3017578125,2656.8330078125,189.06906127929688,0.011723032073369102
full_pred,13828,parallel5,parallel5,True,0.5,0.5548828840255737,222.80409240722656,199.0839080810547,38038.62890625,7443.6240234375,295.7038879394531,0.018334814480372837
full_pred,39225,series2x2_parallel1,series3,False,0.125,0.13122624158859253,106.62789916992188,96.36459350585938,9214.7431640625,500.35345458984375,53.89824295043945,0.003341904944843716
full_pred,2049,parallel5,parallel5,True,2.0,1.919936180114746,255.68800354003906,283.44329833984375,14798.142578125,2806.956298828125,213.80450439453125,0.01325672770303393
full_pred,20515,series2x2_parallel1,parallel5,False,0.33329999446868896,0.2503317594528198,544.247314453125,533.8142700195312,24062.7578125,4868.25634765625,251.01321411132812,0.015563815359085326
full_pred,23836,series3,series3,True,0.16670000553131104,0.14760439097881317,510.9966125488281,659.0222778320312,24050.9375,4199.38916015625,149.96551513671875,0.009298457039727105
full_pred,21087,series2x2_parallel1,parallel5,False,4.0,3.4369075298309326,154.81610107421875,161.0100555419922,34005.16796875,6327.8623046875,249.7620849609375,0.01548624038696289
full_pred,36013,series2x2_parallel1,parallel5,False,1.0,1.288864254951477,598.8519287109375,574.859130859375,24447.478515625,5225.51513671875,304.57366943359375,0.018884776130555166
full_pred,30161,series2x2_parallel1,series2x2_parallel1,True,1.5,1.5036406517028809,306.8832092285156,319.34405517578125,31626.35546875,6615.8505859375,299.43255615234375,0.018566006705874487
full_pred,5820,series3,series3,True,2.0,1.8778467178344727,200.81390380859375,213.60073852539062,32174.908203125,5519.74267578125,206.835205078125,0.012824603489467077
full_pred,2329,series3,series3,True,0.666700005531311,0.5986675024032593,217.17649841308594,217.41073608398438,39604.46875,7327.42724609375,183.10183715820312,0.011353040498400491
full_pred,3434,series3,parallel5,False,1.0,0.8879915475845337,188.6779022216797,178.4648895263672,40498.00390625,8042.79248046875,309.013916015625,0.019160089038667224
full_pred,13681,series3,series3,True,0.25,0.2643890678882599,158.52330017089844,148.73052978515625,8855.1201171875,673.8508911132812,49.05558395385742,0.00304164087015485
full_pred,10924,series2x2_parallel1,series3_parallel2,False,1.5,1.5040295124053955,505.5448913574219,486.3380432128906,12285.263671875,2436.53369140625,174.15695190429688,0.0107984221170819
full_pred,26007,series3_parallel2,series3_parallel2,True,0.16670000553131104,0.2198469489812851,213.63720703125,193.60264587402344,11988.201171875,2078.591796875,155.8114471435547,0.009660928022293817
full_pred,42594,parallel5,parallel5,True,0.33329999446868896,0.25674107670783997,130.60960388183594,147.89443969726562,15836.9619140625,2814.449951171875,165.2024688720703,0.010243208635421027
full_pred,45289,series3,parallel5,False,0.33329999446868896,0.29080772399902344,585.0418090820312,578.5107421875,28023.6171875,5454.689453125,256.1870422363281,0.015884613233899312
full_pred,7520,series2x2_parallel1,series2x2_parallel1,True,0.33329999446868896,0.24295756220817566,297.11248779296875,344.0984802246094,35188.39453125,6653.28076171875,283.210693359375,0.017560186840239026
full_pred,40387,series3_parallel2,series3_parallel2,True,0.5,0.3706333637237549,256.00689697265625,330.5644226074219,28698.75,5264.69677734375,291.58251953125,0.018079273284427703
full_pred,12369,series3_parallel2,series3_parallel2,True,4.0,3.714556932449341,91.2603988647461,93.06755828857422,19432.466796875,3870.031494140625,189.7548370361328,0.011765552891625298
full_pred,46541,series3,series3,True,3.0,2.3632736206054688,812.6358032226562,825.1473999023438,31087.66015625,6767.60888671875,261.2854309082031,0.01620073356325664
full_pred,42236,series3_parallel2,parallel5,False,0.16670000553131104,0.1750536412000656,126.88860321044922,147.7137451171875,13281.400390625,2281.594482421875,147.12777709960938,0.009122506020561097
