id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,ratio_log2,freq_log2,algorithm_idx
23081,series3_parallel2,848.496,0.3333,4.587,1.6513,5.1243,0.4137,0.8314,0.0,0.0,0.0,0.0,0.0,-1.5851068,9.728764,3
37999,parallel5,368.4745,0.25,2.105,0.4809,3.7327,0.3286,1.0049,0.0,0.0,0.0,0.0,0.0,-2.0,8.525421,0
17925,parallel5,387.1112,0.25,4.869,3.9833,0.7132,3.1007,4.7963,0.0,0.0,0.0,0.0,0.0,-2.0,8.596604,0
13023,parallel5,807.4699,0.2,5.4972,2.4877,3.5978,0.3583,5.9472,0.0,0.0,0.0,0.0,0.0,-2.321928,9.657265,0
2877,series3,77.9668,0.125,0.997,2.1117,0.9221,1.6002,4.0123,0.0,0.0,0.0,0.0,0.0,-3.0,6.284788,2
15679,series2x2_parallel1,653.9315,0.3333,1.4742,4.1262,1.8357,1.7541,2.7373,0.0,0.0,0.0,0.0,0.0,-1.5851068,9.352996,1
5623,parallel5,824.3274,0.5,0.6292,1.7816,1.1304,3.6662,0.7538,0.0,0.0,0.0,0.0,0.0,-1.0,9.687074,0
37792,series3,256.9055,0.3333,4.113,2.109,2.446,2.6918,1.4287,0.0,0.0,0.0,0.0,0.0,-1.5851068,8.005094,2
17139,series2x2_parallel1,656.895,2.0,1.6235,2.2925,2.9001,3.4215,3.1982,0.0,0.0,0.0,0.0,0.0,1.0,9.359519,1
11109,series3_parallel2,666.3873,1.0,3.0546,2.2764,4.502,2.0177,3.6051,0.0,0.0,0.0,0.0,0.0,0.0,9.380218,3
20666,series3_parallel2,399.0173,1.0,1.109,0.6667,2.2123,0.7108,4.0789,0.0,0.0,0.0,0.0,0.0,0.0,8.640307,3
22376,series3,132.2402,3.0,3.0446,3.3231,1.1791,0.3766,3.4071,0.0,0.0,0.0,0.0,0.0,1.5849625,7.047017,2
10723,series3,252.5012,3.0,0.5129,0.2484,2.164,2.9763,1.2092,0.0,0.0,0.0,0.0,0.0,1.5849625,7.9801464,2
33428,series3,290.2988,0.125,3.7023,1.9375,1.2961,1.5098,0.2644,0.0,0.0,0.0,0.0,0.0,-3.0,8.181395,2
41166,series3,92.921,0.6667,4.8093,1.1226,2.9073,5.4349,3.168,0.0,0.0,0.0,0.0,0.0,-0.58489037,6.537933,2
42005,series3,357.8591,1.0,2.4119,3.4233,1.3955,2.2333,5.5975,0.0,0.0,0.0,0.0,0.0,0.0,8.483248,2
6281,series3_parallel2,566.4316,0.25,2.4076,0.4478,3.3029,1.846,1.7736,0.0,0.0,0.0,0.0,0.0,-2.0,9.145758,3
45395,series3_parallel2,247.943,0.2,4.6771,3.3173,0.8734,1.2345,3.9042,0.0,0.0,0.0,0.0,0.0,-2.321928,7.9538646,3
11144,series3,590.6755,2.0,4.3732,0.7874,3.3309,0.3071,5.9495,0.0,0.0,0.0,0.0,0.0,1.0,9.206222,2
5181,series3,428.8266,0.1667,1.6523,1.4282,4.1701,0.2451,2.3651,0.0,0.0,0.0,0.0,0.0,-2.584674,8.74425,2
15888,parallel5,173.7256,2.0,3.1649,4.9094,5.5415,0.9323,2.6016,0.0,0.0,0.0,0.0,0.0,1.0,7.4406667,0
