id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,freq_log2,ratio_log2,ratio_idx,algorithm_idx
3717,series3,121.7805,0.5,3.596,5.9749,4.079,0.6791,2.876,0.0,0.0,0.0,0.0,0.0,6.928139,-1.0,5,2
2495,series3_parallel2,617.2304,0.1667,2.2509,5.0176,0.3622,3.724,3.1731,0.0,0.0,0.0,0.0,0.0,9.269666,-2.584674,1,3
1288,series2x2_parallel1,374.2195,0.3333,0.5844,5.142,1.271,1.295,3.6658,0.0,0.0,0.0,0.0,0.0,8.547741,-1.5851068,4,1
3978,series2x2_parallel1,671.3226,4.0,2.4592,3.6515,4.1,3.849,1.7247,0.0,0.0,0.0,0.0,0.0,9.390862,2.0,11,1
369,series2x2_parallel1,427.673,4.0,1.7699,1.5621,2.6372,2.7375,1.2323,0.0,0.0,0.0,0.0,0.0,8.740364,2.0,11,1
3997,series2x2_parallel1,65.5691,0.125,2.3256,3.1566,1.0824,0.2283,3.7518,0.0,0.0,0.0,0.0,0.0,6.034944,-3.0,0,1
31,series2x2_parallel1,85.4914,1.0,1.2366,0.3866,1.1244,1.6767,4.3165,0.0,0.0,0.0,0.0,0.0,6.4177074,0.0,7,1
1518,series2x2_parallel1,343.4713,0.5,3.6049,3.6896,0.3087,3.4171,2.0436,0.0,0.0,0.0,0.0,0.0,8.424046,-1.0,5,1
2049,series3_parallel2,236.2789,1.0,4.2156,2.5116,3.7743,3.9225,3.7,0.0,0.0,0.0,0.0,0.0,7.884347,0.0,7,3
719,parallel5,188.0311,3.0,2.9993,2.2965,2.682,1.1473,0.7703,0.0,0.0,0.0,0.0,0.0,7.5548277,1.5849625,10,0
3628,parallel5,826.7718,0.25,3.0752,0.7818,0.8658,0.4222,1.0213,0.0,0.0,0.0,0.0,0.0,9.691345,-2.0,3,0
298,series2x2_parallel1,600.0807,0.6667,0.411,0.2704,0.9128,0.9187,3.9603,0.0,0.0,0.0,0.0,0.0,9.2290125,-0.58489037,6,1
1793,series3,241.8704,0.2,1.5279,0.4663,1.4017,0.9344,2.2141,0.0,0.0,0.0,0.0,0.0,7.9180903,-2.321928,2,2
1475,series2x2_parallel1,229.0398,1.5,1.6676,0.4014,1.2195,0.2312,1.7843,0.0,0.0,0.0,0.0,0.0,7.8394547,0.5849625,8,1
1301,series3_parallel2,88.3679,0.3333,0.7243,1.7587,2.8302,0.8602,0.802,0.0,0.0,0.0,0.0,0.0,6.4654503,-1.5851068,4,3
2654,series3,468.7654,0.25,0.6599,2.3856,1.0946,3.3269,1.1472,0.0,0.0,0.0,0.0,0.0,8.872723,-2.0,3,2
3065,series3_parallel2,76.0773,0.1667,0.7653,1.0652,2.5492,4.0225,3.7978,0.0,0.0,0.0,0.0,0.0,6.249394,-2.584674,1,3
22,series2x2_parallel1,720.8012,2.0,2.5478,1.4981,5.2758,2.6209,1.869,0.0,0.0,0.0,0.0,0.0,9.493458,1.0,9,1
1857,parallel5,372.5249,0.1667,1.7115,4.1721,1.0639,0.4593,2.7765,0.0,0.0,0.0,0.0,0.0,8.541193,-2.584674,1,0
3983,series3_parallel2,133.6856,1.0,0.5762,2.0143,1.1889,0.8814,0.7938,0.0,0.0,0.0,0.0,0.0,7.0627003,0.0,7,3
1189,series3,236.8952,0.25,3.0554,1.0136,1.3481,2.3038,3.6048,0.0,0.0,0.0,0.0,0.0,7.8881054,-2.0,3,2
2561,series3_parallel2,102.4575,0.3333,2.2114,4.0791,1.3458,3.9402,2.1922,0.0,0.0,0.0,0.0,0.0,6.6788816,-1.5851068,4,3
1284,series3_parallel2,67.7575,0.2,0.8798,3.8173,2.5784,2.2346,1.0783,0.0,0.0,0.0,0.0,0.0,6.082309,-2.321928,2,3
3364,series2x2_parallel1,170.6752,0.2,2.9762,1.646,5.1567,5.8676,3.0906,0.0,0.0,0.0,0.0,0.0,7.4151096,-2.321928,2,1
1299,parallel5,65.9089,0.3333,1.0787,3.615,0.2504,5.3084,4.1679,0.0,0.0,0.0,0.0,0.0,6.0424013,-1.5851068,4,0
519,series3,473.6104,0.2,1.7483,1.4789,5.5807,1.3122,1.3325,0.0,0.0,0.0,0.0,0.0,8.887557,-2.321928,2,2
2088,series3,861.8838,0.2,2.4858,2.2149,1.4253,1.2126,1.8529,0.0,0.0,0.0,0.0,0.0,9.751349,-2.321928,2,2
930,parallel5,130.0492,1.0,0.4374,0.452,4.1209,3.2283,3.9887,0.0,0.0,0.0,0.0,0.0,7.0229135,0.0,7,0
3183,parallel5,69.9494,2.0,2.518,0.7605,2.0309,1.7634,2.6424,0.0,0.0,0.0,0.0,0.0,6.1282396,1.0,9,0
3212,series3_parallel2,188.2324,4.0,2.3864,1.6579,3.0506,0.405,3.2348,0.0,0.0,0.0,0.0,0.0,7.556371,2.0,11,3
3902,parallel5,97.6827,0.3333,0.1683,0.5763,2.0747,2.4983,3.2592,0.0,0.0,0.0,0.0,0.0,6.610031,-1.5851068,4,0
428,series3_parallel2,331.4884,0.25,5.3039,1.1482,1.3417,2.0166,3.9893,0.0,0.0,0.0,0.0,0.0,8.372814,-2.0,3,3
2324,parallel5,222.9649,0.2,0.8799,0.3897,1.0212,0.5978,0.5874,0.0,0.0,0.0,0.0,0.0,7.800673,-2.321928,2,0
812,series2x2_parallel1,385.463,4.0,1.7327,4.2419,0.7725,0.6116,1.0999,0.0,0.0,0.0,0.0,0.0,8.590448,2.0,11,1
2308,series3,457.1076,2.0,2.4267,1.1427,0.8335,0.9204,0.3272,0.0,0.0,0.0,0.0,0.0,8.83639,1.0,9,2
1207,series3,92.5898,0.1667,2.8884,4.2383,5.6509,5.9732,3.6181,0.0,0.0,0.0,0.0,0.0,6.532781,-2.584674,1,2
88,series2x2_parallel1,100.2013,1.0,1.3093,5.0487,3.2045,1.0896,1.9222,0.0,0.0,0.0,0.0,0.0,6.6467576,0.0,7,1
1121,series2x2_parallel1,243.6519,3.0,4.0732,3.3053,3.6466,0.4574,0.2918,0.0,0.0,0.0,0.0,0.0,7.9286776,1.5849625,10,1
1826,series3,150.5171,0.25,0.7731,5.254,3.1117,2.1522,1.1708,0.0,0.0,0.0,0.0,0.0,7.2337837,-2.0,3,2
3890,series3,696.2734,1.5,0.687,5.0861,5.7177,1.5013,0.3078,0.0,0.0,0.0,0.0,0.0,9.44351,0.5849625,8,2
3927,series3,185.5465,1.0,1.4542,1.9876,0.8743,0.2246,0.2408,0.0,0.0,0.0,0.0,0.0,7.535637,0.0,7,2
1307,series3_parallel2,117.1985,0.6667,0.6921,3.9539,0.818,3.1305,3.4683,0.0,0.0,0.0,0.0,0.0,6.8728104,-0.58489037,6,3
213,series3,590.863,1.0,4.7754,1.2708,3.0474,2.3331,1.0382,0.0,0.0,0.0,0.0,0.0,9.206679,0.0,7,2
